"","OBJECTID_1","COUNT","AREA","MEAN","SUM","cov","Species","SiteTransect","Site","Transect"
"454",19,90,5.625e-06,23.4888888888889,NA,"CanopyHeight","Lepilemur_saeli","AmbodivohitraKobahina_3","AmbodivohitraKobahina",3
"455",20,75,4.6875e-06,24.6666666666667,NA,"CanopyHeight","Lepilemur_saeli","Befamatra_2","Befamatra",2
"456",21,123,7.6875e-06,25.6422764227642,NA,"CanopyHeight","Lepilemur_saeli","Ambodimandresy_1","Ambodimandresy",1
"457",22,136,8.5e-06,26.375,NA,"CanopyHeight","Lepilemur_saeli","Antanambe_2","Antanambe",2
"458",23,102,6.375e-06,23.4901960784314,NA,"CanopyHeight","Lepilemur_saeli","Antanambe_3","Antanambe",3
"459",24,47,2.9375e-06,23.2765957446809,NA,"CanopyHeight","Lepilemur_saeli","Androfiabe_2","Androfiabe",2
"460",25,57,3.5625e-06,22.3333333333333,NA,"CanopyHeight","Lepilemur_saeli","Ambodihasina_2","Ambodihasina",2
"461",26,67,4.1875e-06,26.1641791044776,NA,"CanopyHeight","Lepilemur_saeli","Antanambe_1","Antanambe",1
"462",27,117,7.3125e-06,24.4102564102564,NA,"CanopyHeight","Lepilemur_saeli","Ambavala_1","Ambavala",1
"463",28,114,7.125e-06,23.2280701754386,NA,"CanopyHeight","Lepilemur_saeli","Ambavala_2","Ambavala",2
"464",29,88,5.5e-06,24.1590909090909,NA,"CanopyHeight","Lepilemur_saeli","Ambavala_3","Ambavala",3
"465",1,209,1.30625e-05,20.9569377990431,NA,"CanopyHeight","Microcebus_lehilahytsara","Ambodivoara_1","Ambodivoara",1
"466",2,172,1.075e-05,26,NA,"CanopyHeight","Microcebus_lehilahytsara","Ambodihasina_1","Ambodihasina",1
"467",3,152,9.5e-06,22.0855263157895,NA,"CanopyHeight","Microcebus_lehilahytsara","Ambodimandresy_2","Ambodimandresy",2
"468",4,212,1.325e-05,24.7028301886792,NA,"CanopyHeight","Microcebus_lehilahytsara","Ambodivoara_3","Ambodivoara",3
"469",5,125,7.8125e-06,18.472,NA,"CanopyHeight","Microcebus_lehilahytsara","Ambodivoara_2","Ambodivoara",2
"470",6,234,1.4625e-05,20.6239316239316,NA,"CanopyHeight","Microcebus_lehilahytsara","Androfiabe_1","Androfiabe",1
"471",7,160,1e-05,23.74375,NA,"CanopyHeight","Microcebus_lehilahytsara","Ambodimandresy_3","Ambodimandresy",3
"472",8,152,9.5e-06,20.5197368421053,NA,"CanopyHeight","Microcebus_lehilahytsara","Ambodihasina_3","Ambodihasina",3
"473",9,163,1.01875e-05,21.8098159509203,NA,"CanopyHeight","Microcebus_lehilahytsara","Befamatra_1","Befamatra",1
"474",10,152,9.5e-06,22.4802631578947,NA,"CanopyHeight","Microcebus_lehilahytsara","Befamatra_3","Befamatra",3
"475",11,157,9.8125e-06,25.3057324840764,NA,"CanopyHeight","Microcebus_lehilahytsara","Androfiabe_3","Androfiabe",3
